Date,Description,Amount,Type,Category
"Apr 30, 2025",Interest earned,$1.20,Credit,Interest
"Apr 24, 2025",PAYPAL INST XFER,-$14.15,Debit,Direct Payment
"Apr 24, 2025",VENMO PAYMENT,-$99.57,Debit,Direct Payment
"Apr 24, 2025",CHASE CREDIT CRD EPAY,"-$1,225.13",Debit,Direct Payment
"Apr 22, 2025",ROBINHOOD Funds,-$100.00,Debit,Direct Payment
"Apr 22, 2025",VENMO REPAYMENT,-$216.57,Debit,Direct Payment
"Apr 21, 2025",ROBINHOOD Funds,"-$1,000.00",Debit,Direct Payment
"Apr 21, 2025",PAYPAL INST XFER,-$10.89,Debit,Direct Payment
"Apr 21, 2025",PAYPAL INST XFER,-$1.07,Debit,Direct Payment
"Apr 18, 2025",CHASE CREDIT CRD EPAY,-$913.00,Debit,Direct Payment
"Apr 17, 2025",ROBINHOOD Funds,"-$1,100.00",Debit,Direct Payment
"Apr 17, 2025",Mobile Check Deposit,"$2,251.45",Credit,Check Deposit
"Apr 15, 2025",ROBINHOOD Funds,-$50.00,Debit,Direct Payment
"Apr 15, 2025",ROBINHOOD Funds,-$700.00,Debit,Direct Payment
"Apr 15, 2025",Deposit From Savings - 2141,$35.79,Credit,Deposit
"Apr 15, 2025",Deposit From Emergency Fund Vault,$627.64,Credit,Deposit
"Apr 14, 2025",ROBINHOOD Funds,-$14.00,Debit,Direct Payment
"Apr 14, 2025",PAYPAL INST XFER,-$10.89,Debit,Direct Payment
"Apr 10, 2025",ROBINHOOD Funds,-$100.00,Debit,Direct Payment
"Apr 10, 2025",SOFI SECURITIES ACH,$88.83,Credit,Deposit
"Apr 9, 2025",IRS TREAS 310 TAX REF,"$1,235.00",Credit,Deposit
"Apr 7, 2025",PAYPAL INST XFER,-$10.89,Debit,Direct Payment
"Apr 7, 2025",PAYPAL INST XFER,-$21.79,Debit,Direct Payment
"Apr 7, 2025",PAYPAL INST XFER,-$6.80,Debit,Direct Payment
"Apr 7, 2025",VENMO PAYMENT,-$70.00,Debit,Direct Payment
"Apr 4, 2025",ROBINHOOD Funds,-$5.00,Debit,Direct Payment
"Apr 4, 2025",VENMO PAYMENT,-$135.00,Debit,Direct Payment
"Apr 3, 2025",Mobile Check Deposit,"$2,039.59",Credit,Check Deposit
"Apr 3, 2025",CHASE CREDIT CRD EPAY,-$803.23,Debit,Direct Payment
"Apr 2, 2025",McCullough Devel RENT,-$821.18,Debit,Direct Payment
"Apr 1, 2025",KS DEPT OF REV TAX REFUND,$143.00,Credit,Deposit
"Apr 1, 2025",PAYPAL INST XFER,-$8.71,Debit,Direct Payment
"Apr 1, 2025",PAYPAL INST XFER,-$8.71,Debit,Direct Payment
